tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,electrometer_filename,flag
20240924225233,2024-09-24 22:52:33.754123,1,,0,Empty,83.97072,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_1.npy,False
20240924225236,2024-09-24 22:52:36.787254,2,,0,Empty,88.4124,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_2.npy,False
20240924225239,2024-09-24 22:52:39.816425,3,,0,Empty,80.79185,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_3.npy,False
20240924225242,2024-09-24 22:52:42.835415,4,,0,Empty,73.8663,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_4.npy,False
20240924225245,2024-09-24 22:52:45.863898,5,,0,Empty,66.41241,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_5.npy,False
20240924225248,2024-09-24 22:52:48.892062,6,,0,Empty,58.88336,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_6.npy,False
20240924225340,2024-09-24 22:53:40.445079,7,,0,Empty,75.73416,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_7.npy,False
20240924225343,2024-09-24 22:53:43.468476,8,,0,Empty,68.12108,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_8.npy,False
20240924225346,2024-09-24 22:53:46.496406,9,,0,Empty,60.40859,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_9.npy,False
20240924225349,2024-09-24 22:53:49.523765,10,,0,Empty,53.41031,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_10.npy,False
20240924225352,2024-09-24 22:53:52.540752,11,,0,Empty,45.81492,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_11.npy,False
20240924225355,2024-09-24 22:53:55.568536,12,,0,Empty,38.19194,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_12.npy,False
20240924225436,2024-09-24 22:54:36.075793,13,,0,Empty,74.05736,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_13.npy,False
20240924225439,2024-09-24 22:54:39.097483,14,,0,Empty,66.4054,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_14.npy,False
20240924225442,2024-09-24 22:54:42.125591,15,,0,Empty,58.71365,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_15.npy,False
20240924225445,2024-09-24 22:54:45.153694,16,,0,Empty,51.06261,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_16.npy,False
20240924225448,2024-09-24 22:54:48.172005,17,,0,Empty,43.71065,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_17.npy,False
20240924225451,2024-09-24 22:54:51.187682,18,,0,Empty,36.05015,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_18.npy,False
20240924225724,2024-09-24 22:57:24.464941,19,,0,Empty,75.69558,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_19.npy,False
20240924225727,2024-09-24 22:57:27.495365,20,,0,Empty,68.78985,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_20.npy,False
20240924225730,2024-09-24 22:57:30.523687,21,,0,Empty,61.31934,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_21.npy,False
20240924225733,2024-09-24 22:57:33.551418,22,,0,Empty,53.8621,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_22.npy,False
20240924225736,2024-09-24 22:57:36.578513,23,,0,Empty,46.41599,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_23.npy,False
20240924225739,2024-09-24 22:57:39.596447,24,,0,Empty,38.85186,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_24.npy,False
20240924225740,2024-09-24 22:57:40.315896,25,12.787035,0,Empty,35.42171,0.0,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_25.npy,continous
20240924225753,2024-09-24 22:57:53.168537,26,,0,Empty,25.95984,30.62353,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_26.npy,False
20240924225756,2024-09-24 22:57:56.196603,27,,0,Empty,18.54606,30.62353,,,,,/home/estevesjh/Documents/keysighB2987A/202409/20240924_27.npy,False
