tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,electrometer_filename,flag,alt_rank,mount_filename
20240925224509,2024-09-25 22:45:09.768672,1,,0.929954,Empty,69.79224,0.0,-4.0449340000000005e-06,4.421343360835029e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_1.npy,False,1.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_1
20240925224514,2024-09-25 22:45:14.294772,2,,0.930043,Empty,59.49304,0.0,-9.900000000000001e+37,0.0,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_2.npy,False,2.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_2
20240925224518,2024-09-25 22:45:18.612109,3,,0.93481,Empty,50.69689,0.0,-2.310877e-06,9.400592587704265e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_3.npy,False,3.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_3
20240925224523,2024-09-25 22:45:23.065800,4,,0.92974,Empty,41.97858,0.0,-1.9550763e-06,1.6546845349189633e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_4.npy,False,4.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_4
20240925224527,2024-09-25 22:45:27.517355,5,,0.93024,Empty,31.47109,0.0,-1.6790088e-06,7.812781627563891e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_5.npy,False,5.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_5
20240925224531,2024-09-25 22:45:31.977799,6,,0.92954,Empty,22.61653,0.0,-1.5448656e-06,4.4651160835973455e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_6.npy,False,6.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_6
20240925224549,2024-09-25 22:45:49.968165,7,16.8458675,17.428074000000002,Empty,87.46604,0.0,-5.901464172619047e-06,6.631392590373028e-06,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_7.npy,True,0.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_7
20240925224604,2024-09-25 22:46:04.324608,8,,0.929502,Empty,81.90144,30.3326,-1.6310713e-05,4.670727040632969e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_8.npy,False,1.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_8
20240925224608,2024-09-25 22:46:08.645241,9,,0.943409,Empty,72.99199,30.3326,-5.553689e-06,5.936500358536163e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_9.npy,False,2.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_9
20240925224613,2024-09-25 22:46:13.094699,10,,0.930897,Empty,64.20042,30.3326,-1.6315666000000002e-06,3.8417570891975975e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_10.npy,False,3.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_10
20240925224617,2024-09-25 22:46:17.412038,11,,0.92962,Empty,53.49958,30.3326,-2.240391e-06,1.533988230072187e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_11.npy,False,4.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_11
20240925224621,2024-09-25 22:46:21.717032,12,,0.92973,Empty,44.28191,30.3326,-2.1901920000000004e-06,1.638549163131822e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_12.npy,False,5.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_12
20240925224626,2024-09-25 22:46:26.159551,13,,0.929433,Empty,35.35249,30.3326,-1.8876067e-06,1.1239892090674173e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_13.npy,False,6.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_13
20240925224641,2024-09-25 22:46:41.086084,14,14.085615,14.371838,Empty,86.54881,30.3326,-5.569439842857143e-06,5.925053348359228e-06,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_14.npy,True,0.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_14
20240925224655,2024-09-25 22:46:55.430254,15,,0.940533,Empty,81.2101,60.43527,-1.3532569e-05,6.336064548668993e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_15.npy,False,1.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_15
20240925224659,2024-09-25 22:46:59.733623,16,,0.929645,Empty,71.95697,60.43527,-2.0192690000000005e-06,4.683691374428934e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_16.npy,False,2.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_16
20240925224704,2024-09-25 22:47:04.181001,17,,0.930879,Empty,62.95177,60.43527,-9.134288e-07,2.3530080993485763e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_17.npy,False,3.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_17
20240925224708,2024-09-25 22:47:08.634551,18,,0.929362,Empty,51.85473,60.43527,-1.3890036e-06,1.913304135886402e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_18.npy,False,4.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_18
20240925224713,2024-09-25 22:47:13.087303,19,,0.929938,Empty,43.04493,60.43527,-1.5945855e-06,2.6922843924816126e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_19.npy,False,5.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_19
20240925224717,2024-09-25 22:47:17.541152,20,,0.93109,Empty,32.41195,60.43527,-1.578678e-06,7.16795507798422e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_20.npy,False,6.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_20
20240925224732,2024-09-25 22:47:32.846983,21,14.3970125,14.751601,Empty,86.80818,60.43527,-4.432306216783217e-06,5.690475483025824e-06,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_21.npy,True,0.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_21
20240925224747,2024-09-25 22:47:47.173086,22,,0.931161,Empty,83.28441,90.61921,-1.3223895e-05,7.279773415601613e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_22.npy,False,1.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_22
20240925224751,2024-09-25 22:47:51.490478,23,,0.944875,Empty,71.72566,90.61921,-2.037616e-06,2.007999192828524e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_23.npy,False,2.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_23
20240925224755,2024-09-25 22:47:55.796355,24,,0.92979,Empty,62.59284,90.61921,-6.727878e-06,3.0640955030155306e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_24.npy,False,3.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_24
20240925224800,2024-09-25 22:48:00.109806,25,,0.929437,Empty,53.63598,90.61921,-8.815861e-06,9.066631827200245e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_25.npy,False,4.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_25
20240925224804,2024-09-25 22:48:04.413102,26,,0.929683,Empty,42.54747,90.61921,-4.472661e-06,3.139950699756288e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_26.npy,False,5.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_26
20240925224808,2024-09-25 22:48:08.860617,27,,0.93001,Empty,33.41648,90.61921,-1.8174271e-06,1.0108204137728891e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_27.npy,False,6.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_27
